,Job Title Index,Job ID,Job Title,Company Name,Company Location,Link
0,1,p_3ba18b41a5cb804f,Data Design Analyst,Manulife,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=3ba18b41a5cb804f&fccid=1747adf6142beb48&vjs=3
1,1,p_614e0392febe0ede,Temporary - Research Analyst,University Hospital,"London, ON",https://ca.indeed.com/rc/clk?jk=614e0392febe0ede&fccid=4dbdf983b5e4b3c7&vjs=3
2,1,p_a287b59453451899,Senior Analyst,Alberta Health Services,"Calgary, AB",https://ca.indeed.com/rc/clk?jk=a287b59453451899&fccid=89918cc9490b4093&vjs=3
3,1,pj_16275b5a09d41ad4,"Analyst, HR and Technology",UAP Inc.,"Montréal, QC",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dx5R8H8z0-w6T9ZC--l8ylkKAwD5CSB9j8e312j5VX1kEnI9gGHjVEOLAEQK9RqD-UEQ5s0teRuPMGStINfhnaXzSfmu3t5Q5RXQ-y0OUtjmtYcq2c54KBqHnvpwSHqFHxKdD3o3MeDcHNTVglyMgp7u43FFOxeYGR9cySae1hLXxU6k8zVP94WNgMTJAhjyznQShKsMkXzpoOIcHDLXXSb0Htp4-DH8S7BcQTgxN_b41d75dekAyuX6XHK_av5Y56SZjFdEOny6VyLR88ATMhn1aZ_ARqoEqZjfYFIsNzyxBK3tDu74W3RCugBKGEhCxNNQQKKUIUB3Fu-gMOLQypqfdE2AUIAVnLyTtwdHh7XKeu19wLzb26Le3u4sb17sdrru6JJveSPkYqTcSp_61Ln31zZ7iP58Iuwb546JTET6bazmWErJi-tvt8OVHnxOWAo_tDsdkUx8fmECIH3Yn-TNL2tf0nyp2SLdFu6uPMwsm3nILStS9OI7M058mDrFgH0dwaYmy3N8raVN7BOKzCefTB4eHkmsMNfMAkOPWyPh_wYgb-aeMpuI1aLNO1c7CcfYEpVLSKpTJ_YdC-D6dLIYcmqjw5aFeR08niDvUWzIsrDX4X-KhTp3B5Ae4zW-CHqWV64h7lNQUtWsLqsqA0yjwsKMJWsGiPLs08p-s9DrVH35buNLLJ-2AwSTX1JXrDia5TrXPnvA0QQJNb3BE2O2vQeIvrXvA=&p=3&fvj=0&vjs=3
4,1,p_6d3b8c73d17db34b,Posting No. E2020-18 – Data Analyst,Maltby Centre,Canada,https://ca.indeed.com/rc/clk?jk=6d3b8c73d17db34b&fccid=545a597296abb490&vjs=3
5,1,p_b51405b5cc97d440,Business Data Analyst,Carfax,"London, ON",https://ca.indeed.com/rc/clk?jk=b51405b5cc97d440&fccid=2e34fbb9cb2e96bf&vjs=3
6,1,p_2e33e2715a37c99f,Senior Data Analyst,Salesforce,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=2e33e2715a37c99f&fccid=4027cfd917e1ee29&vjs=3
7,1,p_705b36a65b58a12f,"Social media operator, Burnaby",Guangson Consulting,"Burnaby, BC",https://ca.indeed.com/rc/clk?jk=705b36a65b58a12f&fccid=fef51c6ef07da52c&vjs=3
8,1,p_098c53567ca49280,Data Analyst and Member Support,Alberta Council of Women's Shelters,"Edmonton, AB",https://ca.indeed.com/company/Alberta-Council-of-Women's-Shelters/jobs/Data-Analyst-Member-Support-098c53567ca49280?fccid=86b45e70c2e63031&vjs=3
9,1,p_5f4bded06607e6ad,Analyste de données - Data Analyst,PayFacto,"Verdun, QC",https://ca.indeed.com/company/Payfacto/jobs/Analyste-De-Donn%C3%A9e-5f4bded06607e6ad?fccid=a63441c559da0070&vjs=3
10,1,p_06cb669b35d5d296,"Data Analyst, Growth",NorthOne,"Toronto, ON",https://ca.indeed.com/rc/clk?jk=06cb669b35d5d296&fccid=dca2e344433f10ee&vjs=3
11,1,p_3dbacb56b156eb61,"Data Analyst, Capital Markets Summer 2021 Student Opportunit...",RBC,Ontario,https://ca.indeed.com/rc/clk?jk=3dbacb56b156eb61&fccid=537b899e30af3338&vjs=3
12,1,p_f598907f28ff9ade,Senior Business Data Analyst,Athena Software,"Waterloo, ON",https://ca.indeed.com/rc/clk?jk=f598907f28ff9ade&fccid=60b0f7539d11a074&vjs=3
13,1,p_9957cf2b67e40372,Coop Work Experience Student,Alberta Health Services,"Edmonton, AB",https://ca.indeed.com/rc/clk?jk=9957cf2b67e40372&fccid=89918cc9490b4093&vjs=3
14,1,p_6dd51c336be7ff63,Data Analyst,Ed Mehlman and Associates,"Toronto, ON",https://ca.indeed.com/company/UpCounsel-LLC/jobs/Data-Analyst-6dd51c336be7ff63?fccid=8c26107ffffab5a4&vjs=3
15,1,p_bdca7bdaa6afa127,573462 - Professional-Environmental Data Analyst,Geosyntec Consultants,"Guelph, ON",https://ca.indeed.com/rc/clk?jk=bdca7bdaa6afa127&fccid=bd76dce80af676b9&vjs=3
16,1,p_a3d80f0a938077bc,"Data Analyst , Investigation and Forensic",Bombardier,"Dorval, QC",https://ca.indeed.com/rc/clk?jk=a3d80f0a938077bc&fccid=b3f8eab3b50969f8&vjs=3
